Feature_Set,Classifier,F1_Score_Macro
Contrast + LBP + HOG + SpatialFreq + DL_Inception + SpatialFreq_mRMR,RandomForest,0.9613523553465939
DarkChannel + HOG + SpatialFreq + DL_Inception + SpatialFreq_mRMR,RandomForest,0.961351997113694
Contrast + HOG + SpatialFreq + DL_Inception + SpatialFreq_mRMR,RandomForest,0.961351997113694
Edge + HOG + SpatialFreq + DL_Inception + SpatialFreq_mRMR,RandomForest,0.961351997113694
Contrast + DarkChannel + HOG + DL_ResNet + DL_EfficientNet + SpatialFreq_mRMR,RandomForest,0.9613498081091028
Contrast + Edge + HOG + DL_ResNet + DL_EfficientNet + SpatialFreq_mRMR,RandomForest,0.9613498081091028
HOG + DL_Inception + DL_ResNet + DL_EfficientNet + SpatialFreq_mRMR,RandomForest,0.9613482090454075
Contrast + LBP + HOG + SpatialFreq,RandomForest,0.9613452776647404
Edge + HOG + DL_ResNet,RandomForest,0.9613356904785603
Contrast + DarkChannel + HOG + DL_Inception + SpatialFreq_mRMR,RandomForest,0.9613325451910745
Edge + DarkChannel + HOG + DL_Inception + SpatialFreq_mRMR,RandomForest,0.9613325451910745
DarkChannel + LBP + HOG + DL_Inception + DL_ResNet + DL_EfficientNet,RandomForest,0.9613323215840472
Edge + LBP + HOG + DL_Inception + DL_ResNet + DL_EfficientNet,RandomForest,0.9613323215840472
Contrast + LBP + HOG + DL_Inception + DL_ResNet + DL_EfficientNet,RandomForest,0.9613323215840472
Edge + DarkChannel + HOG,RandomForest,0.9613168578444811
Contrast + Edge + HOG,RandomForest,0.9613168578444811
Contrast + DarkChannel + HOG,RandomForest,0.9613168578444811
Contrast + Edge + DarkChannel + LBP + HOG + SpatialFreq + DL_EfficientNet + SpatialFreq_mRMR,RandomForest,0.9613132457688984
Edge + DarkChannel + HOG + SpatialFreq + SpatialFreq_mRMR,RandomForest,0.961288535897493
Contrast + DarkChannel + LBP + HOG + SpatialFreq + DL_Inception + DL_EfficientNet,RandomForest,0.9603801183765415
Contrast + Edge + LBP + HOG + SpatialFreq + DL_Inception + DL_EfficientNet,RandomForest,0.9603801183765415
